dte_code,dte_name,cap_code,cap_name,match_score,needs_review
EN3467,VISHWANIKETAN'S INSTITUTE OF MANAGEMENT ENTREPRENEURSHIP AND,3467,Vishwaniketan's Institute of Management Entrepreneurship and,1.0,
EN3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,1.0,
EN3471,"NEW HORIZON INSTITUTE OF TECHNOLOGY & MANAGEMENT, THANE",3471,"New Horizon Institute of Technology & Management, Thane",1.0,
EN3475,"PCT'S A. P. SHAH INSTITUTE OF TECHNOLOGY, THANE",3475,"A. P. Shah Institute of Technology, Thane",0.67,
EN3477,CHHHATRAPATI SHIVAJI MAHARAJ INSTITUTE OF TECHNOLOGY,3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedun",0.4,YES
EN3503,OF TECHNOLOGY INDALA COLLEGE OF ENGINEERING,3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",1.0,
EN3721,"SIDDHIVINAYAK TECHNICAL CAMPUS, SCHOOL OF ENGINEERING & RESE",1268,"Siddhivinayak Technical Campus, School of Engineering & Rese",0.71,
EN4116,ANKUSH SHIKSHAN SANSTHA'S G.H.RAISONI COLLEGE OF ENGINEERING,4116,Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering,1.0,
EN4123,"LOKMANYA TILAK JANKALYAN SHIKSHAN SANSTHA, PRIYADARSHANI COL",4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani Col",0.86,
EN4133,SANMARG SHIKSHAN SANSTHA'S SMT. RADHIKATAI PANDAV COLLEGE OF,4133,Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of,0.88,
EN4134,"GURU NANAK INSTITUTE OF ENGINEERING & TECHNOLOGY,KALMESHWAR,",4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar,",1.0,
EN4135,AMAR SEVA MANDAL'S SHREE GOVINDRAO WANJARI COLLEGE OF ENGINE,4135,Amar Seva Mandal's Shree Govindrao Vanjari College of Engine,0.75,
EN4137,SIR SHANTILAL BADJATE CHARITABLE TRUST'S S. B. JAIN INSTITUT,4137,Sir Shantilal Badjate Charitable Trust's S. B. Jain Institut,0.8,
EN4138,"JAIDEV EDUCATION SOCIETY'S, J. D. COLLEGE OF ENGINEERING, AT",4138,"Jaidev Education Society, J D College of Engineering and Man",0.5,YES
EN4139,"KATOL ROAD,NAGPUR JHULELAL INSTITUT OF TECHNOLOGY, NAGPUR",4025,"Government College of Engineering, Nagpur",0.5,YES
EN4141,VILASRAO DESHMUKH COLLEGE OF ENGINEERING AND TECHNOLOGY,2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur",1.0,
EN4142,"TECHNOLOGY, NAGPUR (FORMERLY KNOW AS - G. H. RAISONI INSTITU",4142,"G H Raisoni College of Engineering & Management, Nagpur",0.57,YES
EN4143,"SANMARG SHIKSHAN SANSTHA, MANDUKARRAO PANDAV COLLEGE OF",4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engi",0.83,
EN4144,"SHRI. SAI SHIKSHAN SANSTHA, NAGPUR INSTITUTE OF TECHNOLOGY, ",4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, ",1.0,
