college_code,college_name,avg_package_lpa,highest_package_lpa,placement_rate_pct
EN5396,KHANDESH BAHHUUDESHIYA SANSTHA'S COLLEGE OF ENGINEERING & TECHNOLOGY,N/A,N/A,N/A
EN5399,COLLEGE OF ENGINEERING & TECHNOLOGY SANGHAVI COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN5401,"JAWAHAR EDUCATION SOCIETY'S INSTITUTE OF TECHNOLOGY, MANAGEMENT & RESEARCH",N/A,N/A,N/A
EN5408,NASHIK. Re VIDYA NIKETAN COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN5409,RAJIV GANDHI COLLEGE OF ENGINEERING,N/A,N/A,N/A
EN5411,MAULANA MUKHTAR AHMAD NADVI TECHNICAL CAMPUS,N/A,N/A,N/A
EN5418,"GURU GOBIND SINGH COLLEGE OF ENGINEERING & RESEARCH CENTRE, NASHIK",N/A,N/A,N/A
EN5449,"SHRI VILE PARLE KELAVANI MANDAL�S INSTITUTE OF TECHNOLOGY,DHULE",N/A,N/A,N/A
EN5497,P.G.COLLEGE OF ENGINEERING AND TECHNOLOGY,N/A,N/A,N/A
EN6122,THE SHETKARI SHIKSHAN MANDAL SANGLI'S PD. VASANTDADA PATIL INSTITUTE OF,N/A,N/A,N/A
EN6138,GENBA SOPANRAO MOZE TRUST'S PARVATIBAI GENBA MOZE COLLEGE OF,N/A,N/A,N/A
EN6139,"PROGRESSIVE EDUCATION SOCIETY'S MODERN COLLEGE OF ENGINEERING, PUNE",6.0,22.0,68.0
EN6141,"JAYWANT SHIKSHAN PRASARAK MANDAL'S,RAJARSHI SHAHU COLLEGE OF",N/A,N/A,N/A
EN6144,"ENGINEERING, TATHAWADE, PUNE G S MOZE COLLEGE OF ENGINEERONG",N/A,N/A,N/A
EN6145,"JAYAWANTRAO SAWANT COLLEGE OF ENGINEERING,PUNE",N/A,N/A,N/A
EN6146,MAEER PUNE'S MIT ACADEMY OF ENGINEERING,7.0,35.0,75.0
EN6149,"CHOUDHARY ATTARSINGH YADAV MEMORIAL EDUCATION TRUST'S, SIDDHANT COLLEGE OF",N/A,N/A,N/A
EN6155,"G.H.RAISONI COLLEGE OF ENGINEERING & MANAGEMENT, WAGHOLI, PUNE",N/A,N/A,N/A
EN6156,"MARATHWADA MITRA MANDAL'S COLLEGE OF ENGINEERING, KARVENAGAR, PUNE",6.0,22.0,68.0
EN6175,"PIMPRI CHINCHWAD EDUCATION TRUST, PIMPRI CHINCHWAD COLLEGE OF",N/A,N/A,N/A
EN6177,"SINHGAD COLLEGE OF ENGINEERING, VADGAON (BK), PUNE",5.0,20.0,65.0
EN6178,"STES SMT. KASHIBAI NAVALE COLLEGE OF ENGINEERING,VADGAON,PUNE",N/A,N/A,N/A
EN6179,CHANAKYA EDUCATION SOCIETY'S INDIRA COLLEGE OF ENGINEERING & MANAGEMENT,N/A,N/A,N/A
