college_code,college_name,annual_fees
EN5181,"GOKHALE EDUCATION SOCIETY, COLLEGE OF ENGINEERING, NASHIK",70000
EN5182,"KALYANI CHARITABLE TRUST, LATE GAMBHIRRAO NATUBA SAPKAL COLLEGE OF",86500
EN5184,"AMRUTA VAISHNAVI EDUCATION & WELFARE TRUST'S, SHATABDI INSTITUTE OF ENGINEERING",81500
EN5244,MET'S INSTITUTE OF TECHNOLOGY- POLYTECHNIC,91500
EN5303,"HON. SHRI. BABANRAO PACHPUTE VICHARDHARA TRUST, GROUP OF",76000
EN5322,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,57000
EN5330,"PUNE VIDYARTHI GRIHA'S COLLEGE OF ENGINEERING, NASHIK",73500
EN5331,SANDIP INSTITUTE OF ENGINEERING & MANAGEMENT,139000
EN5365,VARDHMAN EDUCATION &WELFARE SOCIETY'S AHINSA INSTITUTE OF TECHNOLOGY,100000
EN5380,AHINSA INSTITUTE OF TECHNOLOGY ADSUL'S TECHNICAL CAMPUS AHMEDNAGAR,101500
EN5381,"SHRI. JAYKUMAR RAWAL INSTITUTE OF TECHNOLOGY, DONDAICHA",86000
EN5382,"SHRI CHHATRAPATI SHIVAJI MAHARAJ COLLEGE OF ENGINEERING,NEPTI",55000
EN5390,KRANTIVEER VASANTRAO NARAYAN NAIK INSTITUTE OF ENGINEERING,74000
EN5396,KHANDESH BAHHUUDESHIYA SANSTHA'S COLLEGE OF ENGINEERING & TECHNOLOGY,81500
EN5399,COLLEGE OF ENGINEERING & TECHNOLOGY SANGHAVI COLLEGE OF ENGINEERING,81500
EN5401,"JAWAHAR EDUCATION SOCIETY'S INSTITUTE OF TECHNOLOGY, MANAGEMENT & RESEARCH",73000
EN5408,NASHIK. Re VIDYA NIKETAN COLLEGE OF ENGINEERING,76000
EN5409,RAJIV GANDHI COLLEGE OF ENGINEERING,83500
EN5411,MAULANA MUKHTAR AHMAD NADVI TECHNICAL CAMPUS,59000
EN5418,"GURU GOBIND SINGH COLLEGE OF ENGINEERING & RESEARCH CENTRE, NASHIK",94000
EN5449,"SHRI VILE PARLE KELAVANI MANDAL�S INSTITUTE OF TECHNOLOGY,DHULE",109500
EN5497,P.G.COLLEGE OF ENGINEERING AND TECHNOLOGY,70000
EN6122,THE SHETKARI SHIKSHAN MANDAL SANGLI'S PD. VASANTDADA PATIL INSTITUTE OF,120000
EN6138,GENBA SOPANRAO MOZE TRUST'S PARVATIBAI GENBA MOZE COLLEGE OF,49000
EN6139,"PROGRESSIVE EDUCATION SOCIETY'S MODERN COLLEGE OF ENGINEERING, PUNE",90000
EN6141,"JAYWANT SHIKSHAN PRASARAK MANDAL'S,RAJARSHI SHAHU COLLEGE OF",133000
EN6144,"ENGINEERING, TATHAWADE, PUNE G S MOZE COLLEGE OF ENGINEERONG",58000
EN6145,"JAYAWANTRAO SAWANT COLLEGE OF ENGINEERING,PUNE",126000
EN6146,MAEER PUNE'S MIT ACADEMY OF ENGINEERING,191000
EN6149,"CHOUDHARY ATTARSINGH YADAV MEMORIAL EDUCATION TRUST'S, SIDDHANT COLLEGE OF",58500
EN6155,"G.H.RAISONI COLLEGE OF ENGINEERING & MANAGEMENT, WAGHOLI, PUNE",133500
EN6156,"MARATHWADA MITRA MANDAL'S COLLEGE OF ENGINEERING, KARVENAGAR, PUNE",121000
EN6175,"PIMPRI CHINCHWAD EDUCATION TRUST, PIMPRI CHINCHWAD COLLEGE OF",176000
EN6177,"SINHGAD COLLEGE OF ENGINEERING, VADGAON (BK), PUNE",130000
EN6178,"STES SMT. KASHIBAI NAVALE COLLEGE OF ENGINEERING,VADGAON,PUNE",96500
EN6179,CHANAKYA EDUCATION SOCIETY'S INDIRA COLLEGE OF ENGINEERING & MANAGEMENT,138000
EN6182,"SINHGAD TECHNICAL EDUCATION SOCIETY, SINHGAD INSTITUTE OF TECHNOLOGY AND",108500
EN6183,"AL-AMEEN EDUCATIONAL AND MEDICAL FOUNDATION'S, COLLEGE OF ENGINEERING &",52000
EN6184,K. J.'S EDUCATIONAL INSTITUTE'S TRINITY COLLEGE OF ENGINEERING AND RESEARCH,102000
EN6185,"SINHGAD TECHNICAL EDUCATION SOCEITY, SINHGAD INSTITUTE OF TECHNOLOGY",133500
EN6187,"SINHGAD ACADEMY OF ENGINEERING, KONDHWA (BK) KONDHWA-SASWAD ROAD",111000
EN6203,"MARATHWADA MITRA MANDAL'S INSTITUTE OF TECHNOLOGY, LOHGAON, PUNE",113000
EN6206,"PUNE DISTRICT EDUCATION ASSOCIATION'S COLLEGE OF ENGINEERING ,MANJARI (BK.)",99000
EN6207,"PATIL INSTITUTE OF TECHNOLOGY, PIMPARI (FORMERLY KNOWN AS DR. D. Y. PATIL VIDYA",127000
EN6214,K. E. SOCIETY'S RAJARAMBAPU INSTITUTE OF TECHNOLOGY,157000
EN6217,"SHRI. BALASAHEB MANE PRASARAK MANDALS, ASHOKRAO MANE GROUP OF INSTITUTIONS",122000
EN6219,"KSGBS'S BHARAT- RATNA INDIRA GANDHI COLLEGE OF ENGINEERING, KEGAON, SOLAPUR",68500
EN6220,SHRI VITHAL EDUCATION AND RESEARCH INSTITUTE'S COLLEGE OF ENGINEERING,110000
EN6222,DATTAJIRAO KADAM TECHNICAL EDU. SOCIETY'S TEXTILE & ENGINEERING INSTITUTE,121000
EN6223,"PRADNYA NIKETAN EDUCATION SOCIETY, PUNE. NAGESH KARAJAGI ORCHID COLLEGE OF",115000
EN6250,"D.Y. PATIL COLLEGE OF ENGINEERING AND TECHNOLOGY, KASABA-BAVADA, KOLHAPUR",124000
EN6265,"WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",134000
EN6267,"KOLHAPUR INSTITUTE OF TECHNOLOGY'S COLLEGE OF ENGINEERING, KOLHAPUR",119000
EN6268,"TATYASAHEB KORE INSTITUTE OF ENGINEERING AND TECHNOLOGY, WARANANAGAR",105000
EN6269,"PADMABHOOSHAN VASNATRAODADA PATIL INSTITUTE OF TECHNOLOGY, BUDHGAON",95000
EN6270,"KARMAVEER BHAURAO PATIL COLLEGE OF ENGINEERING AND POLYTECHNIC, SATARA",126500
EN6271,SCTR'S PUNE INSTITUTE OF COMPUTER TECHNOLOGY,120500
EN6272,"DR. D.Y.PATIL PRATISHTHAN'S D.Y.PATIL COLLEGE OF ENGINEERING AKURDI, PUNE",135000
EN6273,"TRUST'S VISHWAKARMA INSTITUTE OF TECHNOLOGY, 666, UPPER",206000
EN6274,"PUNE VIDYARTHI GRIHA'S COLLEGE OF ENGINEERING AND TECHNOLOGY, PUNE",121500
EN6275,"SHIVNAGAR VIDYA PRASARAK MANDAL'S COLLEGE OF ENGINEERING, MALEGAON",89000
EN6276,"MKSSS'S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN, KARVENAGAR,PUNE",192500
EN6277,DR. J.J. MAGDUM CHARITABLE TRUST'S DR. J.J. MAGDUM COLLEGE OF ENGINEERING,100000
EN6278,"ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S COLLEGE OF ENGINEERING, PUNE",163000
EN6281,"COLLEGE OF ENGINEERING, PUNE (FORMERLY KNOWN AS MODERN EDUCATION SOCIETY'S",132000
EN6282,ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S INSTITUTE OF INFORMATION,132000
EN6283,"ANNASAHEB DANGE COLLEGE OF ENGINEERING AND TECHNOLOGY, ASHTA, SANGLI",118500
EN6284,VIDYA PRATISHTHAN'S KAMALNAYAN BAJAJ INSTITUTE OF ENGINEERING & TECHNOLOGY,114000
EN6285,BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING FOR,142000
EN6288,"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING, KOLHAPUR",111000
EN6293,"BRAHMDEVDADA MANE INSTITUTE OF TECHNOLOGY, SOLAPUR (BMIT)",100000
EN6298,"ZEAL EDUCATION SOCIETY'S DYANGANGA COLLEGE OF ENGINEERING & RESERCH, NARHE",132000
EN6303,DR. ASHOK GUJAR TECHNICAL INSTITUTES DR. DAULATRAO AHER COLLEGE OF ENGINEERING,85500
EN6304,"ADARSH INSTITUTE OF TECHNOLOGY AND RESEARCH CENTER, VITA",96500
EN6305,BHAWANDAS CHHABADA INSTITUTE OF ENGINEERING &,40000
EN6307,"PATIL COLLEGE OF ENGINEERING, , UBALE NAGAR, WAGHOLI, TALUKA - HAVELI, PUNE",117000
EN6308,"SHANTI EDUCATION SOCIETY, A.G. PATIL INSTITUTE OF TECHNOLOGY, SOREGAON",84500
EN6310,"MANDAL, NUTAN MAHARASHTRA INSTITUTE OF TECHNOLOGY, VISHNUPURI, TALEGAON",124000
EN6311,JSPM'S BHIVARABAI SAWANT INSTITUTE OF TECHNOLOGY & RESEARCH,110000
